Z_m,N1_60,Fp75mm_pct,dw_m,svo_kPa,s0vo_kPa,at_g,tav_over_s0vo,Vs_mps,f0_deg,Mv,amax_g,Liquefaction,GRNN
3.9,15.0,5.0,1.68,70.0,47.8,0.12,0.35,185.0,31.49,7.4,0.4,Yes,Yes
8.4,31.0,7.0,0.37,148.0,67.7,0.04,0.49,150.0,38.0,7.4,0.4,No,No
9.2,7.0,94.0,1.65,174.1,98.6,0.04,0.39,160.0,29.17,7.4,0.4,Yes,Yes
13.2,18.0,21.0,0.6,250.5,126.9,0.06,0.19,227.0,33.86,7.6,0.18,No,No
5.8,9.0,57.0,0.8,98.2,49.1,0.05,0.23,145.0,28.49,7.6,0.18,Yes,Yes
13.2,42.0,42.0,1.9,269.7,158.9,0.15,0.35,363.0,42.18,7.6,0.38,No,No
4.2,9.0,54.0,0.75,82.5,48.7,0.05,0.73,130.0,28.49,7.6,0.67,Yes,Yes
7.4,20.0,1.0,1.5,138.1,79.1,0.06,0.4,180.0,35.49,7.4,0.4,No,No
8.0,7.0,99.0,0.54,148.4,73.8,0.03,0.45,134.0,28.48,7.4,0.4,Yes,No
3.2,5.0,70.0,1.78,52.9,39.0,0.1,0.16,158.0,26.0,7.6,0.18,Yes,Yes
17.2,30.0,20.0,0.99,339.1,180.0,0.1,0.33,315.0,39.29,7.6,0.38,No,No
11.8,26.0,51.0,1.4,236.6,134.6,0.04,0.67,182.0,36.97,7.6,0.67,No,No
11.2,13.0,40.0,0.5,226.6,121.7,0.08,0.72,239.0,31.49,7.6,0.67,Yes,Yes
5.6,26.0,36.0,1.57,112.9,73.4,0.05,0.65,145.0,35.1,7.6,0.67,No,No
11.0,33.0,10.0,0.82,211.1,109.3,0.35,0.41,500.0,46.35,7.4,0.4,No,No
2.9,7.0,59.0,0.5,52.9,28.9,0.02,0.45,67.0,27.75,7.4,0.4,Yes,Yes
4.2,5.0,99.0,1.78,72.0,48.2,0.08,0.17,158.0,26.0,7.6,0.18,Yes,Yes
2.2,9.0,15.0,2.0,39.1,37.1,0.13,0.12,150.0,28.49,7.6,0.18,Yes,Yes
11.8,23.0,18.0,2.0,228.5,132.3,0.05,0.18,200.0,35.87,7.6,0.18,No,No
14.2,36.0,19.0,0.7,320.6,188.2,0.06,0.34,242.0,41.35,7.6,0.38,No,No
2.8,9.0,31.0,1.57,55.2,43.1,0.07,0.55,122.0,28.49,7.6,0.67,Yes,Yes
1.0,6.0,90.0,0.77,16.3,14.0,0.14,0.29,105.0,28.48,7.4,0.4,No,No
1.8,8.0,94.0,0.77,30.9,20.6,0.08,0.37,105.0,29.17,7.4,0.4,No,No
2.6,7.0,100.0,0.77,45.6,27.3,0.04,0.41,85.0,26.96,7.4,0.4,No,No
3.4,5.0,87.0,0.77,60.3,34.0,0.03,0.43,85.0,29.68,7.4,0.4,No,No
4.2,5.0,74.0,0.77,75.8,41.5,0.02,0.44,85.0,26.93,7.4,0.4,Yes,Yes
5.0,3.0,92.0,0.77,90.1,47.8,0.02,0.45,85.0,28.39,7.4,0.4,No,No
6.0,3.0,97.0,0.77,108.2,55.9,0.15,0.45,250.0,26.0,7.4,0.4,No,No
7.0,19.0,70.0,0.77,127.9,65.6,0.13,0.45,250.0,33.42,7.4,0.4,Yes,Yes
8.0,26.0,58.0,0.77,147.5,75.2,0.11,0.44,250.0,35.1,7.4,0.4,No,No
9.0,48.0,5.0,0.77,167.3,85.0,0.1,0.44,250.0,42.72,7.4,0.4,No,No
1.0,3.0,74.0,0.78,18.0,15.8,0.14,0.29,105.0,26.0,7.4,0.4,Yes,Yes
1.8,5.0,86.0,0.78,32.8,22.6,0.08,0.36,105.0,26.93,7.4,0.4,Yes,Yes
3.4,2.0,85.0,0.78,62.4,36.2,0.03,0.42,85.0,29.14,7.4,0.4,No,No
4.2,10.0,93.0,0.78,77.4,43.2,0.02,0.43,85.0,29.17,7.4,0.4,Yes,Yes
6.0,4.0,99.0,0.78,109.5,57.3,0.15,0.45,250.0,29.97,7.4,0.4,No,No
7.0,11.0,85.0,0.78,128.3,66.1,0.13,0.44,250.0,30.95,7.4,0.4,Yes,Yes
8.5,39.0,8.0,0.78,156.2,79.0,0.11,0.44,250.0,40.78,7.4,0.4,No,No
10.0,25.0,6.0,0.78,186.6,94.4,0.09,0.43,250.0,37.32,7.4,0.4,No,No
1.8,7.0,99.0,0.71,30.3,19.4,0.09,0.39,111.0,27.34,7.4,0.4,No,No
2.8,4.0,99.0,0.71,48.8,27.9,0.07,0.43,121.0,27.34,7.4,0.4,No,No
3.7,6.0,79.0,0.71,66.0,36.1,0.05,0.44,118.0,27.75,7.4,0.4,Yes,Yes
5.6,5.0,96.0,0.71,99.9,51.0,0.03,0.46,105.0,26.93,7.4,0.4,Yes,Yes
6.5,17.0,88.0,0.71,117.0,59.1,0.07,0.46,173.0,32.96,7.4,0.4,Yes,Yes
8.5,49.0,9.0,0.71,157.1,79.2,0.05,0.44,173.0,42.45,7.4,0.4,No,No
4.1,7.0,97.0,0.82,74.1,41.3,0.02,0.43,85.0,28.49,7.4,0.4,Yes,Yes
5.0,3.0,98.0,0.82,90.5,48.7,0.17,0.44,250.0,29.97,7.4,0.4,No,No
6.6,18.0,92.0,0.82,120.0,62.2,0.13,0.45,250.0,32.99,7.4,0.4,No,No
8.0,32.0,66.0,0.82,147.9,76.1,0.11,0.44,250.0,38.65,7.4,0.4,No,No
9.5,75.0,8.0,0.82,179.3,92.5,0.1,0.43,250.0,44.8,7.4,0.4,No,No
12.5,33.0,7.0,0.82,243.2,126.4,0.31,0.4,500.0,40.49,7.4,0.4,No,No
15.0,10.0,100.0,0.82,289.7,147.9,0.27,0.39,500.0,25.37,7.4,0.4,No,No
1.6,3.0,96.0,3.1,25.3,25.1,0.11,0.25,115.0,24.9,7.4,0.4,No,No
2.6,3.0,82.0,3.1,43.0,42.7,0.07,0.25,115.0,26.0,7.4,0.4,No,No
3.5,10.0,21.0,3.1,58.6,54.6,0.13,0.26,185.0,29.8,7.4,0.4,Yes,Yes
4.2,12.0,14.0,3.1,72.3,61.3,0.11,0.28,185.0,30.39,7.4,0.4,Yes,Yes
5.0,31.0,29.0,3.1,89.3,70.3,0.09,0.3,185.0,37.66,7.4,0.4,No,No
6.2,33.0,5.0,3.1,116.4,85.4,0.08,0.32,185.0,38.65,7.4,0.4,No,No
8.0,31.0,5.0,3.1,155.2,106.2,0.29,0.33,400.0,39.59,7.4,0.4,No,No
10.5,8.0,100.0,3.1,202.3,128.3,0.23,0.34,400.0,26.11,7.4,0.4,No,No
12.4,12.0,100.0,3.1,238.1,145.1,0.2,0.34,400.0,26.11,7.4,0.4,No,No
13.7,9.0,36.0,3.1,263.3,157.3,0.19,0.34,400.0,30.95,7.4,0.4,Yes,Yes
16.0,9.0,100.0,3.1,306.1,177.1,0.17,0.34,400.0,27.15,7.4,0.4,No,No
1.4,4.0,87.0,1.68,21.5,21.5,0.12,0.25,115.0,31.3,7.4,0.4,No,No
3.0,2.0,91.0,1.68,50.8,37.6,0.15,0.33,185.0,24.9,7.4,0.4,Yes,Yes
4.7,25.0,5.0,1.68,86.4,56.2,0.1,0.37,185.0,35.09,7.4,0.4,No,No
7.0,31.0,3.0,1.68,138.2,85.0,0.33,0.37,400.0,43.97,7.4,0.4,No,No
8.0,35.0,4.0,1.68,159.8,96.6,0.29,0.37,400.0,44.29,7.4,0.4,No,No
1.8,3.0,99.0,1.5,28.7,25.7,0.05,0.28,85.0,24.9,7.4,0.4,No,No
2.6,4.0,99.0,1.5,43.2,32.2,0.04,0.33,85.0,25.8,7.4,0.4,No,No
4.2,11.0,98.0,1.5,72.9,45.9,0.02,0.38,85.0,29.8,7.4,0.4,Yes,Yes
5.0,18.0,67.0,1.5,88.4,53.4,0.09,0.39,180.0,32.96,7.4,0.4,Yes,Yes
6.0,48.0,53.0,1.5,107.8,62.8,0.08,0.4,180.0,42.45,7.4,0.4,No,No
9.6,13.0,89.0,1.5,180.3,99.3,0.05,0.4,180.0,31.48,7.4,0.4,Yes,Yes
1.7,3.0,97.0,1.34,28.9,25.3,0.16,0.28,145.0,24.9,7.4,0.4,Yes,Yes
3.3,9.0,99.0,1.34,58.0,38.4,0.08,0.37,141.0,25.37,7.4,0.4,No,No
4.9,10.0,87.0,1.34,88.2,52.6,0.02,0.4,85.0,29.17,7.4,0.4,No,No
5.7,47.0,71.0,1.34,104.0,60.4,0.08,0.4,180.0,40.2,7.4,0.4,No,No
6.5,16.0,92.0,1.34,119.5,67.9,0.07,0.41,180.0,31.49,7.4,0.4,Yes,Yes
7.6,7.0,99.0,1.34,139.7,77.1,0.06,0.41,180.0,28.88,7.4,0.4,No,No
9.0,9.0,99.0,1.34,165.6,89.0,0.05,0.41,180.0,29.17,7.4,0.4,Yes,Yes
3.8,10.0,28.0,1.3,68.2,43.2,0.04,0.38,100.0,29.17,7.4,0.4,Yes,Yes
4.6,4.0,88.0,1.3,82.8,49.8,0.07,0.4,155.0,26.0,7.4,0.4,Yes,Yes
5.5,24.0,97.0,1.3,99.7,57.7,0.06,0.41,155.0,30.6,7.4,0.4,No,No
6.7,12.0,83.0,1.3,122.5,68.5,0.05,0.41,155.0,31.49,7.4,0.4,Yes,Yes
7.7,6.0,98.0,1.3,140.5,76.5,0.04,0.42,155.0,27.75,7.4,0.4,No,No
9.8,23.0,75.0,1.3,182.3,97.3,0.04,0.41,155.0,35.87,7.4,0.4,Yes,Yes
1.4,4.0,99.0,0.44,23.9,14.3,0.09,0.42,100.0,29.97,7.4,0.4,No,No
2.4,2.0,99.0,0.44,41.8,22.2,0.06,0.47,100.0,29.97,7.4,0.4,No,No
3.5,3.0,99.0,0.44,61.5,30.9,0.04,0.48,100.0,29.97,7.4,0.4,No,No
4.4,7.0,51.0,0.44,78.9,39.3,0.07,0.48,155.0,27.75,7.4,0.4,Yes,Yes
3.0,1.0,96.0,0.44,51.8,26.7,0.03,0.47,85.0,29.4,7.4,0.4,No,No
5.1,5.0,100.0,0.44,90.8,44.2,0.09,0.49,180.0,31.3,7.4,0.4,No,No
6.0,55.0,99.0,0.44,107.3,51.7,0.08,0.48,180.0,41.91,7.4,0.4,No,No
7.0,44.0,4.0,0.44,129.0,63.4,0.07,0.47,180.0,40.2,7.4,0.4,No,No
1.0,3.0,94.0,0.96,15.1,14.7,0.09,0.26,85.0,24.9,7.4,0.4,Yes,No
1.8,1.0,87.0,0.96,29.9,21.5,0.05,0.35,85.0,23.46,7.4,0.4,Yes,Yes
2.5,16.0,99.0,0.96,42.3,26.9,0.04,0.39,85.0,27.34,7.4,0.4,No,No
1.0,6.0,84.0,0.96,15.1,14.7,0.09,0.26,85.0,26.93,7.4,0.4,Yes,Yes
1.9,4.0,72.0,0.96,31.1,22.2,0.05,0.35,85.0,26.0,7.4,0.4,Yes,Yes
2.6,4.0,99.0,0.96,47.3,30.9,0.04,0.38,85.0,28.39,7.4,0.4,No,No
3.3,7.0,99.0,0.96,60.3,36.9,0.03,0.4,85.0,25.65,7.4,0.4,No,No
1.1,1.0,81.0,1.69,21.6,21.6,0.2,0.25,130.0,32.99,7.4,0.4,No,No
1.9,2.0,71.0,1.69,36.1,34.0,0.15,0.26,145.0,24.9,7.4,0.4,Yes,Yes
2.7,2.0,99.0,1.69,48.0,37.9,0.1,0.31,145.0,28.88,7.4,0.4,No,No
3.4,9.0,89.0,1.69,61.0,43.9,0.08,0.34,145.0,34.16,7.4,0.4,Yes,Yes
4.4,30.0,4.0,1.69,82.5,55.4,0.07,0.36,145.0,41.61,7.4,0.4,No,No
5.5,30.0,3.0,1.69,107.3,69.2,0.05,0.36,145.0,41.97,7.4,0.4,No,No
7.5,36.0,5.0,1.69,147.2,89.1,0.04,0.38,145.0,44.6,7.4,0.4,No,No
10.0,8.0,94.0,1.69,194.3,111.2,0.04,0.38,170.0,29.17,7.4,0.4,No,No
2.6,3.0,99.0,1.9,42.6,35.6,0.33,0.29,256.0,26.0,7.4,0.4,No,No
3.3,3.0,95.0,1.9,55.6,41.6,0.27,0.33,256.0,26.0,7.4,0.4,No,No
4.1,25.0,71.0,1.9,70.0,48.0,0.31,0.35,306.0,34.7,7.4,0.4,No,No
5.2,30.0,4.0,1.9,95.0,62.0,0.17,0.36,251.0,41.97,7.4,0.4,No,No
7.0,31.0,5.0,1.9,136.1,85.1,0.13,0.37,251.0,43.97,7.4,0.4,No,No
3.2,5.0,52.0,2.28,52.1,42.9,0.09,0.3,145.0,26.93,7.4,0.4,Yes,Yes
3.8,11.0,55.0,2.28,63.8,48.6,0.07,0.32,145.0,30.95,7.4,0.4,Yes,Yes
4.6,22.0,4.0,2.28,80.6,57.4,0.06,0.33,145.0,40.1,7.4,0.4,Yes,Yes
1.6,10.0,2.0,0.5,28.5,17.5,0.03,0.41,59.0,28.48,7.4,0.4,Yes,Yes
3.8,4.0,99.0,0.5,68.5,35.5,0.02,0.47,67.0,26.0,7.4,0.4,No,No
5.4,11.0,47.0,0.5,98.4,49.4,0.04,0.47,119.0,30.39,7.4,0.4,Yes,Yes
6.4,38.0,61.0,0.5,118.4,59.4,0.03,0.46,119.0,39.59,7.4,0.4,No,No
8.8,13.0,3.0,0.5,167.1,84.1,0.15,0.44,299.0,32.0,7.4,0.4,Yes,Yes
2.2,9.0,5.0,0.44,41.2,23.6,0.02,0.43,59.0,28.49,7.4,0.4,Yes,Yes
1.6,18.0,5.0,0.35,28.9,16.4,0.04,0.44,72.0,32.0,7.4,0.4,Yes,Yes
2.4,4.0,2.0,0.35,46.4,25.9,0.02,0.44,59.0,26.0,7.4,0.4,Yes,Yes
3.2,9.0,59.0,0.35,61.3,32.8,0.02,0.46,67.0,28.49,7.4,0.4,Yes,Yes
4.0,4.0,99.0,0.35,75.1,38.6,0.02,0.47,67.0,27.14,7.4,0.4,No,No
5.4,24.0,98.0,0.35,101.0,50.5,0.01,0.47,60.0,29.97,7.4,0.4,No,No
1.0,9.0,99.0,0.74,15.8,13.2,0.14,0.3,105.0,24.96,7.4,0.4,No,No
2.9,4.0,64.0,0.74,55.3,33.7,0.03,0.4,85.0,26.0,7.4,0.4,Yes,Yes
4.0,5.0,89.0,0.74,75.6,43.0,0.02,0.42,85.0,26.93,7.4,0.4,No,No
4.8,12.0,94.0,0.74,90.0,49.4,0.02,0.43,85.0,27.34,7.4,0.4,No,No
6.1,12.0,96.0,0.74,114.0,60.4,0.14,0.44,250.0,30.95,7.4,0.4,Yes,Yes
7.0,31.0,8.0,0.74,132.1,69.5,0.13,0.44,250.0,38.33,7.4,0.4,No,No
7.9,44.0,9.0,0.74,150.4,78.8,0.11,0.43,250.0,42.18,7.4,0.4,No,No
8.8,44.0,5.0,0.74,169.1,88.5,0.1,0.42,250.0,43.0,7.4,0.4,No,No
1.1,4.0,99.0,0.8,17.9,14.9,0.06,0.3,72.0,29.68,7.4,0.4,No,No
3.0,6.0,85.0,0.8,53.2,31.2,0.02,0.42,67.0,27.75,7.4,0.4,Yes,Yes
3.8,4.0,95.0,0.8,68.0,38.0,0.02,0.43,67.0,26.0,7.4,0.4,No,No
4.6,4.0,98.0,0.8,82.6,44.6,0.01,0.44,59.0,30.28,7.4,0.4,No,No
5.5,24.0,89.0,0.8,99.5,52.5,0.01,0.45,59.0,35.49,7.4,0.4,Yes,Yes
6.5,38.0,8.0,0.8,119.6,62.6,0.03,0.44,117.0,38.97,7.4,0.4,No,No
8.0,18.0,25.0,0.8,148.1,76.1,0.16,0.44,299.0,32.96,7.4,0.4,Yes,Yes
9.1,15.0,81.0,0.8,169.3,86.3,0.14,0.43,299.0,32.49,7.4,0.4,Yes,Yes
1.2,3.0,97.0,0.6,20.0,14.0,0.13,0.36,110.0,24.9,7.4,0.4,No,No
2.0,7.0,93.0,0.6,34.7,20.7,0.08,0.42,110.0,27.75,7.4,0.4,Yes,Yes
2.8,9.0,92.0,0.6,49.6,27.6,0.06,0.44,110.0,28.49,7.4,0.4,Yes,Yes
3.6,3.0,96.0,0.6,64.2,34.2,0.03,0.45,90.0,28.17,7.4,0.4,No,No
4.4,5.0,94.0,0.6,78.6,40.6,0.03,0.46,90.0,26.93,7.4,0.4,No,No
5.2,18.0,18.0,0.6,94.5,48.5,0.05,0.46,135.0,32.49,7.4,0.4,Yes,Yes
6.0,36.0,88.0,0.6,110.6,56.6,0.04,0.46,135.0,33.33,7.4,0.4,No,No
6.8,15.0,14.0,0.6,126.1,64.1,0.04,0.45,135.0,32.0,7.4,0.4,Yes,Yes
8.3,10.0,91.0,0.6,154.7,77.7,0.03,0.45,135.0,29.8,7.4,0.4,Yes,Yes
10.2,27.0,19.0,0.6,193.0,97.0,0.03,0.43,135.0,38.0,7.4,0.4,No,No
1.8,4.0,81.0,0.84,30.6,21.0,0.09,0.36,110.0,26.0,7.4,0.4,Yes,Yes
2.7,12.0,53.0,0.84,47.5,28.9,0.06,0.4,110.0,29.8,7.4,0.4,Yes,Yes
4.0,4.0,99.0,0.84,70.3,38.7,0.03,0.44,90.0,25.51,7.4,0.4,No,No
5.2,20.0,39.0,0.84,93.9,50.3,0.05,0.44,135.0,33.42,7.4,0.4,Yes,Yes
6.3,21.0,99.0,0.84,114.3,59.7,0.04,0.44,135.0,34.28,7.4,0.4,Yes,Yes
7.1,13.0,98.0,0.84,129.5,66.9,0.04,0.44,135.0,31.49,7.4,0.4,Yes,No
8.4,11.0,100.0,0.84,153.2,77.6,0.03,0.44,135.0,26.11,7.4,0.4,No,No
3.5,8.0,98.0,0.75,63.1,35.6,0.03,0.43,90.0,28.49,7.4,0.4,Yes,Yes
5.5,7.0,72.0,0.75,101.0,53.5,0.05,0.44,135.0,28.49,7.4,0.4,Yes,Yes
6.5,36.0,64.0,0.75,119.0,61.5,0.04,0.45,135.0,34.28,7.4,0.4,No,No
9.0,7.0,97.0,0.75,165.1,82.6,0.03,0.44,135.0,27.34,7.4,0.4,No,No
1.2,3.0,91.0,0.4,20.6,12.6,0.13,0.41,110.0,26.0,7.4,0.4,Yes,Yes
2.0,6.0,56.0,0.4,36.1,20.1,0.08,0.45,110.0,27.75,7.4,0.4,Yes,Yes
2.8,8.0,65.0,0.4,50.7,26.7,0.06,0.47,110.0,30.95,7.4,0.4,Yes,Yes
3.8,5.0,97.0,0.4,69.1,35.1,0.03,0.48,90.0,28.88,7.4,0.4,No,No
4.4,7.0,99.0,0.4,79.9,39.9,0.03,0.48,90.0,27.75,7.4,0.4,Yes,Yes
1.2,3.0,75.0,1.72,20.0,20.0,0.03,0.25,49.0,29.68,7.4,0.4,No,No
2.2,15.0,15.0,1.72,39.9,35.1,0.01,0.28,49.0,31.49,7.4,0.4,Yes,Yes
3.0,3.0,98.0,1.72,54.1,41.3,0.02,0.32,66.0,26.0,7.4,0.4,No,No
3.8,3.0,100.0,1.72,68.2,47.4,0.02,0.35,66.0,26.0,7.4,0.4,No,No
4.9,5.0,99.0,1.72,88.8,57.0,0.03,0.37,96.0,31.68,7.4,0.4,No,No
5.7,14.0,80.0,1.72,104.0,64.2,0.02,0.38,95.0,32.49,7.4,0.4,Yes,Yes
6.5,8.0,99.0,1.72,118.6,70.8,0.02,0.39,95.0,29.17,7.4,0.4,Yes,Yes
7.3,9.0,99.0,1.72,133.2,77.4,0.01,0.39,81.0,29.8,7.4,0.4,No,Yes
8.5,7.0,98.0,1.72,154.6,86.8,0.01,0.4,67.0,29.17,7.4,0.4,Yes,Yes
9.9,9.0,9.0,1.72,181.7,99.9,0.01,0.4,65.0,30.39,7.4,0.4,Yes,Yes
11.0,7.0,98.0,1.72,202.0,109.2,0.01,0.4,67.0,25.23,7.4,0.4,No,No
1.0,7.0,72.0,1.64,15.0,15.0,0.83,0.25,253.0,27.75,7.4,0.4,No,No
1.8,5.0,68.0,1.64,30.6,29.0,0.47,0.26,253.0,26.93,7.4,0.4,Yes,Yes
2.6,6.0,92.0,1.64,45.6,36.0,0.33,0.31,253.0,27.75,7.4,0.4,Yes,Yes
3.6,3.0,97.0,1.64,64.0,44.4,0.09,0.35,151.0,26.0,7.4,0.4,No,No
4.5,12.0,85.0,1.64,81.2,52.6,0.01,0.37,44.0,33.48,7.4,0.4,Yes,Yes
5.4,18.0,51.0,1.64,98.9,61.3,0.01,0.38,47.0,32.96,7.4,0.4,Yes,Yes
6.2,16.0,72.0,1.64,113.8,68.2,0.01,0.39,49.0,32.96,7.4,0.4,Yes,Yes
7.0,14.0,42.0,1.64,129.6,76.0,0.0,0.39,49.0,32.49,7.4,0.4,Yes,Yes
8.0,13.0,74.0,1.64,148.9,85.3,0.02,0.39,95.0,32.49,7.4,0.4,Yes,Yes
9.0,11.0,100.0,1.64,167.4,93.8,0.01,0.4,95.0,28.17,7.4,0.4,No,No
10.0,10.0,96.0,1.64,186.2,102.6,0.01,0.39,92.0,30.39,7.4,0.4,No,No
12.0,27.0,90.0,1.64,225.0,121.4,0.01,0.39,88.0,34.89,7.4,0.4,No,No
1.5,4.0,97.0,0.54,25.4,15.8,0.01,0.4,40.0,26.0,7.4,0.4,No,No
2.3,9.0,69.0,0.54,40.5,22.9,0.15,0.44,161.0,29.17,7.4,0.4,Yes,Yes
3.1,5.0,95.0,0.54,55.2,29.6,0.01,0.45,51.0,26.93,7.4,0.4,Yes,Yes
4.0,5.0,97.0,0.54,71.9,37.3,0.0,0.46,37.0,27.34,7.4,0.4,No,No
4.8,13.0,84.0,0.54,87.5,44.9,0.0,0.46,37.0,29.14,7.4,0.4,No,No
5.6,10.0,90.0,0.54,102.4,51.8,0.03,0.46,102.0,29.8,7.4,0.4,Yes,Yes
7.0,12.0,67.0,0.54,129.9,65.3,0.04,0.46,134.0,30.95,7.4,0.4,Yes,Yes
9.0,9.0,99.0,0.54,167.2,82.6,0.01,0.45,65.0,29.17,7.4,0.4,No,Yes
2.5,13.0,65.0,0.45,42.4,21.9,0.06,0.48,105.0,30.39,7.4,0.4,Yes,Yes
5.2,8.0,75.0,0.45,92.8,45.3,0.04,0.48,120.0,28.48,7.4,0.4,Yes,Yes
6.0,18.0,99.0,0.45,107.5,52.0,0.05,0.48,145.0,32.49,7.4,0.4,Yes,Yes
8.5,9.0,89.0,0.45,153.6,73.1,0.04,0.47,145.0,29.8,7.4,0.4,Yes,Yes
11.0,9.0,98.0,0.45,201.9,96.4,0.03,0.45,145.0,27.95,7.4,0.4,No,No
12.0,28.0,97.0,0.45,220.3,104.8,0.03,0.44,145.0,37.32,7.4,0.4,No,No
