N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source
8.0,80.0,47.1,0.38622304458598733,1,Hanna2007
13.0,90.0,58.5,0.39500662222222227,1,Hanna2007
15.0,90.0,77.1,0.3943542412451363,1,Hanna2007
15.0,82.0,98.7,0.38678298074974676,1,Hanna2007
16.0,90.0,119.3,0.37810668901927924,1,Hanna2007
18.0,95.0,129.3,0.3734764168600155,0,Hanna2007
17.0,88.0,146.1,0.3643924558521561,1,Hanna2007
21.0,78.0,160.1,0.3567136664584635,0,Hanna2007
30.0,43.0,34.8,0.2767067183908047,0,Hanna2007
15.0,10.0,59.6,0.33180554362416104,1,Hanna2007
20.0,32.0,96.4,0.34952242323651456,1,Hanna2007
13.0,57.0,128.6,0.34478799144634525,1,Hanna2007
18.0,38.0,143.9,0.3447078102849201,1,Hanna2007
21.0,19.0,166.3,0.3387990426939266,1,Hanna2007
33.0,58.0,177.2,0.3351500067720091,0,Hanna2007
62.0,11.0,195.3,0.32824668509984645,0,Hanna2007
49.0,26.0,210.5,0.3220835410926366,0,Hanna2007
41.0,22.0,24.8,0.24255400000000002,0,Hanna2007
10.0,42.0,67.6,0.23143900000000003,0,Hanna2007
9.0,25.0,89.0,0.24527488539325845,1,Hanna2007
23.0,19.0,103.5,0.2663046608695652,1,Hanna2007
14.0,43.0,123.8,0.27899188691437804,1,Hanna2007
18.0,55.0,138.6,0.2861906666666667,0,Hanna2007
13.0,85.0,155.2,0.29064467719072173,0,Hanna2007
17.0,80.0,169.9,0.29195254620364924,0,Hanna2007
18.0,97.0,186.1,0.2913984159054272,0,Hanna2007
31.0,80.0,217.0,0.28576021889400927,0,Hanna2007
38.0,29.0,232.0,0.2814582034482759,0,Hanna2007
27.0,13.0,21.5,0.24255400000000002,0,Hanna2007
15.0,30.0,51.5,0.33513487572815537,1,Hanna2007
14.0,30.0,73.0,0.35556597397260276,1,Hanna2007
22.0,6.0,88.3,0.35980431257078144,1,Hanna2007
5.0,73.0,122.7,0.35464932355338225,0,Hanna2007
4.0,97.0,129.0,0.353320288372093,0,Hanna2007
16.0,98.0,139.3,0.35067066977745875,0,Hanna2007
14.0,96.0,152.7,0.34689152324819916,0,Hanna2007
18.0,98.0,168.9,0.3405286193013618,0,Hanna2007
18.0,99.0,182.2,0.33496128210757414,0,Hanna2007
28.0,36.0,198.3,0.32704219969742815,0,Hanna2007
63.0,16.0,209.2,0.3212064980879541,0,Hanna2007
6.0,94.0,95.5,0.34029099476439795,0,Hanna2007
63.0,67.0,111.7,0.34433878603401974,0,Hanna2007
14.0,75.0,146.4,0.33964187158469955,0,Hanna2007
36.0,35.0,176.2,0.33012853688989785,0,Hanna2007
30.0,91.0,191.8,0.3237524812304484,0,Hanna2007
33.0,49.0,210.1,0.31539584007615423,0,Hanna2007
4.0,98.0,23.2,0.5424621788793104,1,Hanna2007
14.0,51.0,36.7,0.6427932534059946,0,Hanna2007
8.0,32.0,46.7,0.6702027933618845,1,Hanna2007
21.0,46.0,56.3,0.6853841758436946,1,Hanna2007
16.0,15.0,64.5,0.6987492844961242,1,Hanna2007
18.0,29.0,90.0,0.6878345066666668,1,Hanna2007
23.0,33.0,118.0,0.6654085694915255,0,Hanna2007
36.0,32.0,129.7,0.6534494502698536,0,Hanna2007
28.0,35.0,141.4,0.6414828762376238,1,Hanna2007
58.0,32.0,153.4,0.6289497245762713,0,Hanna2007
10.0,58.0,25.4,0.6269999803149608,0,Hanna2007
11.0,55.0,81.3,0.6909247675276754,1,Hanna2007
21.0,52.0,113.8,0.6693439828646749,1,Hanna2007
24.0,9.0,135.9,0.6500810084621045,1,Hanna2007
24.0,15.0,147.6,0.6382004654471546,1,Hanna2007
19.0,34.0,159.4,0.6265621010037641,1,Hanna2007
13.0,54.0,67.2,0.7235761212797619,0,Hanna2007
15.0,51.0,95.4,0.700554247379455,1,Hanna2007
20.0,16.0,145.6,0.6481663750000002,1,Hanna2007
20.0,21.0,157.5,0.6352086866666667,1,Hanna2007
15.0,19.0,169.0,0.6230752615384616,1,Hanna2007
30.0,10.0,180.5,0.6109461814404433,0,Hanna2007
28.0,13.0,192.4,0.5984154797297297,0,Hanna2007
18.0,5.0,204.4,0.5855088698630138,1,Hanna2007
32.0,10.0,216.6,0.57276734810711,0,Hanna2007
18.0,19.0,54.0,0.5764681240740741,1,Hanna2007
19.0,15.0,104.1,0.620412630643612,1,Hanna2007
8.0,13.0,12.1,0.43027400000000005,0,Hanna2007
8.0,10.0,28.9,0.42374150000000005,0,Hanna2007
1.0,13.0,43.1,0.41720900000000005,0,Hanna2007
4.0,31.0,56.9,0.42511152636203875,1,Hanna2007
21.0,10.0,71.9,0.48920884005563287,1,Hanna2007
14.0,36.0,83.7,0.5153385448028676,1,Hanna2007
18.0,26.0,96.0,0.5317128375000001,1,Hanna2007
22.0,33.0,107.9,0.5415739156626507,1,Hanna2007
41.0,27.0,120.0,0.5471469575,0,Hanna2007
22.0,26.0,132.5,0.5492660758490567,1,Hanna2007
24.0,8.0,145.3,0.5481173626978666,1,Hanna2007
21.0,9.0,157.8,0.5461065126742711,1,Hanna2007
25.0,67.0,169.2,0.5435168693853429,0,Hanna2007
22.0,52.0,180.6,0.540107292912514,0,Hanna2007
15.0,53.0,192.0,0.5354780979166668,1,Hanna2007
14.0,23.0,13.1,0.43027400000000005,0,Hanna2007
16.0,19.0,46.5,0.6509001731182796,1,Hanna2007
23.0,14.0,80.1,0.667421963795256,1,Hanna2007
11.0,10.0,91.5,0.6636053808743171,1,Hanna2007
15.0,23.0,112.8,0.6550325385638299,1,Hanna2007
17.0,18.0,123.9,0.6474236497175142,1,Hanna2007
25.0,18.0,178.1,0.6026307664233578,1,Hanna2007
12.0,17.0,202.4,0.5786678278162055,1,Hanna2007
26.0,26.0,213.5,0.5681127077283372,0,Hanna2007
28.0,17.0,224.7,0.557131254339119,0,Hanna2007
11.0,49.0,19.3,0.42766100000000007,0,Hanna2007
18.0,20.0,58.7,0.45195403577512777,1,Hanna2007
16.0,50.0,83.2,0.5194756015625001,1,Hanna2007
16.0,40.0,99.2,0.5419727258064517,1,Hanna2007
15.0,72.0,116.9,0.5555415329341318,0,Hanna2007
13.0,65.0,132.3,0.5601336481481481,1,Hanna2007
27.0,27.0,149.6,0.5606247393048128,0,Hanna2007
30.0,20.0,165.1,0.5568027086614173,0,Hanna2007
35.0,49.0,183.1,0.5494012075368652,0,Hanna2007
24.0,45.0,233.7,0.5174019525032093,0,Hanna2007
3.0,65.0,14.8,0.6270434932432433,1,Hanna2007
8.0,61.0,41.6,0.7305303125000001,1,Hanna2007
9.0,75.0,63.4,0.7237281876971611,0,Hanna2007
25.0,45.0,83.0,0.7064216641566265,1,Hanna2007
21.0,44.0,97.7,0.6929611811668372,1,Hanna2007
24.0,51.0,113.4,0.6782106018518519,0,Hanna2007
27.0,58.0,131.4,0.6609156617199392,0,Hanna2007
17.0,77.0,146.3,0.6464975174299386,0,Hanna2007
38.0,29.0,164.4,0.6279692779805354,0,Hanna2007
13.0,72.0,180.1,0.61157088478623,0,Hanna2007
13.0,76.0,197.7,0.5933935318664644,0,Hanna2007
11.0,82.0,213.3,0.5768314899203,0,Hanna2007
27.0,36.0,20.4,0.42766100000000007,0,Hanna2007
14.0,69.0,46.7,0.6182132323340471,1,Hanna2007
16.0,22.0,66.2,0.656479410120846,1,Hanna2007
19.0,70.0,82.2,0.6573676472019465,1,Hanna2007
28.0,71.0,100.5,0.6510868000000001,0,Hanna2007
21.0,71.0,116.6,0.6418818066037737,1,Hanna2007
18.0,74.0,150.6,0.6178339601593626,0,Hanna2007
23.0,40.0,167.8,0.6043416370679381,0,Hanna2007
37.0,35.0,183.5,0.5903581040871935,0,Hanna2007
16.0,67.0,202.0,0.573492486881188,0,Hanna2007
17.0,67.0,217.2,0.5593359889502764,0,Hanna2007
1.5048326754489283,75.0,62.76256,0.050179593749999994,1,Hwang2021
7.524163377244641,33.0,62.76256,0.15723093749999995,1,Hwang2021
1.5048326754489283,26.0,62.76256,0.03193246875,1,Hwang2021
7.524163377244641,65.0,62.76256,0.130473890625,1,Hwang2021
3.4726907894975265,24.0,62.76256,0.0763693125,1,Hwang2021
2.142298647330311,0.6,20.593965,2.109714285714286,1,Hwang2021
8.095800391599594,0.6,72.56921,5.667437837837839,1,Hwang2021
2.0562910517983903,0.6,17.65197,3.3511111111111114,1,Hwang2021
2.0562910517983903,0.6,17.65197,3.7844444444444445,1,Hwang2021
2.9702584181085103,36.0,74.53053999999999,0.03497615789473685,1,Hwang2021
5.170449838929629,53.0,74.53053999999999,0.052464236842105265,1,Hwang2021
8.470736970161306,52.0,74.53053999999999,0.07775778947368421,1,Hwang2021
9.570832680571865,60.0,74.53053999999999,0.08672984210526317,1,Hwang2021
2.9702584181085103,7.0,74.53053999999999,0.03335355263157896,1,Hwang2021
4.07035412851907,21.0,74.53053999999999,0.04218243421052633,1,Hwang2021
4.07035412851907,30.0,74.53053999999999,0.04386336842105263,1,Hwang2021
2.9702584181085103,9.0,74.53053999999999,0.033947447368421056,1,Hwang2021
6.270545549340189,33.0,74.53053999999999,0.06686618421052633,1,Hwang2021
8.470736970161306,42.0,74.53053999999999,0.08744039473684212,1,Hwang2021
5.170449838929629,54.0,74.53053999999999,0.05297328947368423,1,Hwang2021
2.9702584181085103,5.0,74.53053999999999,0.028475131578947377,1,Hwang2021
2.9702584181085103,46.0,74.53053999999999,0.06279376315789474,1,Hwang2021
2.9702584181085103,12.0,74.53053999999999,0.032372565789473694,1,Hwang2021
9.570832680571865,4.0,74.53053999999999,0.0834846315789474,1,Hwang2021
3.080267989149566,80.0,74.53053999999999,0.049080986842105274,1,Hwang2021
4.180363699560125,24.0,74.53053999999999,0.06334100328947369,1,Hwang2021
8.580746541202362,25.0,74.53053999999999,0.10015879934210527,1,Hwang2021
1.9801722787390068,68.0,74.53053999999999,0.04517200657894738,1,Hwang2021
5.2804594099706845,79.0,74.53053999999999,0.0849038980263158,1,Hwang2021
1.9801722787390068,65.0,74.53053999999999,0.03969661184210527,1,Hwang2021
9.680842251612923,31.0,74.53053999999999,0.13053453947368426,1,Hwang2021
4.180363699560125,69.0,74.53053999999999,0.06396192434210528,1,Hwang2021
5.2804594099706845,76.0,74.53053999999999,0.0770153782894737,1,Hwang2021
1.9801722787390068,73.0,74.53053999999999,0.040430427631578954,1,Hwang2021
8.030698685997082,28.0,74.53053999999999,0.1534365625,1,Hwang2021
5.830507265175964,16.0,74.53053999999999,0.23837210526315797,1,Hwang2021
9.130794396407643,38.0,74.53053999999999,0.3599289473684211,1,Hwang2021
3.52030627331379,83.0,74.53053999999999,0.17701894736842108,1,Hwang2021
4.730411554765404,11.0,74.53053999999999,0.23535473684210528,1,Hwang2021
21.231847210923796,0.0,74.53053999999999,0.8270103947368423,1,Hwang2021
3.080267989149566,29.0,74.53053999999999,0.11063684210526316,1,Hwang2021
4.730411554765404,13.0,74.53053999999999,0.16017197368421057,1,Hwang2021
6.380555120381244,34.0,74.53053999999999,0.23422322368421053,1,Hwang2021
9.680842251612923,41.0,74.53053999999999,0.3329342763157895,1,Hwang2021
1.9801722787390068,23.0,74.53053999999999,0.10977473684210529,1,Hwang2021
1.9801722787390068,0.0,74.53053999999999,0.10115368421052634,1,Hwang2021
3.080267989149566,18.0,74.53053999999999,0.14285802631578948,1,Hwang2021
4.730411554765404,29.0,74.53053999999999,0.18556815789473688,1,Hwang2021
8.030698685997082,16.0,74.53053999999999,0.3054187500000001,1,Hwang2021
1.9801722787390068,77.0,74.53053999999999,0.10977473684210529,1,Hwang2021
6.380555120381244,23.0,74.53053999999999,0.22227947368421058,1,Hwang2021
3.080267989149566,30.0,74.53053999999999,0.17770144736842106,1,Hwang2021
2.0901818497800626,56.0,74.53053999999999,0.11149894736842107,1,Hwang2021
7.480650830791803,17.0,74.53053999999999,0.26337315789473686,1,Hwang2021
3.6303158443548456,80.0,74.53053999999999,0.19210578947368423,1,Hwang2021
12.981129382844601,18.0,74.53053999999999,0.39123414473684226,1,Hwang2021
14.63127294846044,18.0,74.53053999999999,0.49140000000000006,1,Hwang2021
9.680842251612923,0.0,74.53053999999999,0.24376026315789479,1,Hwang2021
6.380555120381244,0.0,74.53053999999999,0.6654802631578949,1,Hwang2021
8.030698685997082,59.0,74.53053999999999,2.009526315789474,1,Hwang2021
5.390468981011741,41.0,74.53053999999999,1.6971842105263162,1,Hwang2021
3.080267989149566,34.0,74.53053999999999,1.4554013157894738,1,Hwang2021
2.2001914208211186,34.0,74.53053999999999,1.4390657894736845,1,Hwang2021
4.730411554765404,61.0,74.53053999999999,1.6275657894736846,1,Hwang2021
16.28141651407628,55.0,74.53053999999999,1.3082105263157897,1,Hwang2021
12.981129382844601,41.0,74.53053999999999,0.9072631578947369,1,Hwang2021
21.231847210923796,17.0,74.53053999999999,1.6746907894736844,1,Hwang2021
1.9801722787390068,27.0,74.53053999999999,0.28600000000000003,1,Hwang2021
16.28141651407628,49.0,74.53053999999999,1.2483421052631583,1,Hwang2021
3.9603445574780136,63.0,74.53053999999999,0.17548563157894737,1,Hwang2021
5.610488123093852,22.0,74.53053999999999,0.22373136842105265,1,Hwang2021
2.5302201339442862,63.0,74.53053999999999,0.14107668421052633,1,Hwang2021
4.620401983724349,26.0,74.53053999999999,0.1740946315789474,1,Hwang2021
4.620401983724349,25.0,74.53053999999999,0.18033582894736844,1,Hwang2021
4.730411554765404,57.0,74.53053999999999,0.1963140263157895,1,Hwang2021
8.030698685997082,17.0,74.53053999999999,0.30968052631578946,1,Hwang2021
3.300287131231678,61.0,74.53053999999999,0.17204473684210528,1,Hwang2021
2.7502392760263983,42.0,74.53053999999999,0.15784189473684215,1,Hwang2021
5.0604402678885725,28.0,74.53053999999999,0.18844389473684212,1,Hwang2021
5.2804594099706845,20.0,74.53053999999999,0.2754729078947369,1,Hwang2021
6.270545549340189,18.0,74.53053999999999,0.3145124210526316,1,Hwang2021
13.971215522214102,44.0,74.53053999999999,0.5072391315789475,1,Hwang2021
5.610488123093852,82.0,74.53053999999999,0.350550302631579,1,Hwang2021
3.6303158443548456,97.0,74.53053999999999,0.18284328947368428,1,Hwang2021
5.2804594099706845,14.0,74.53053999999999,0.2115784210526316,1,Hwang2021
2.9702584181085103,14.0,74.53053999999999,0.12376239473684213,1,Hwang2021
6.270545549340189,15.0,74.53053999999999,0.22534200000000004,1,Hwang2021
2.9702584181085103,22.0,74.53053999999999,0.09993236842105264,1,Hwang2021
7.920689114956027,21.0,74.53053999999999,0.37595435526315796,1,Hwang2021
2.9702584181085103,24.0,74.53053999999999,0.17268532894736843,1,Hwang2021
8.470736970161306,55.0,74.53053999999999,0.28815663157894744,1,Hwang2021
6.270545549340189,35.0,74.53053999999999,0.27871247368421054,1,Hwang2021
4.07035412851907,30.0,74.53053999999999,0.15557236842105265,1,Hwang2021
6.270545549340189,30.0,74.53053999999999,0.2115784210526316,1,Hwang2021
3.410296702272734,63.0,74.53053999999999,0.16929934210526318,1,Hwang2021
6.710583833504411,61.0,74.53053999999999,0.25226517105263163,1,Hwang2021
1.650143565615839,42.0,74.53053999999999,0.09290415789473686,1,Hwang2021
4.730411554765404,62.0,74.53053999999999,0.1887733421052632,1,Hwang2021
5.556305263196042,88.0,62.76256,0.13362070312499996,1,Hwang2021
9.607777850943158,84.0,62.76256,0.24980353125,1,Hwang2021
3.4726907894975265,52.0,62.76256,0.11295801562499998,1,Hwang2021
2.1074947267682185,0.6,15.69064,0.8112,1,Hwang2021
3.2411780701976913,67.0,62.76256,0.08399442187499999,1,Hwang2021
2.081139459107147,0.6,16.671305,4.727717647058824,1,Hwang2021
3.9199262822002603,0.6,30.400615,2.463793548387098,1,Hwang2021
2.2144672865521122,0.5,17.65197,4.6488000000000005,1,Hwang2021
3.9199262822002603,0.5,30.400615,4.094245161290323,1,Hwang2021
3.2411780701976913,9.0,62.76256,0.107165296875,1,Hwang2021
3.190277560190622,24.0,74.53053999999999,0.22371503289473688,1,Hwang2021
4.730411554765404,24.0,74.53053999999999,0.2765931315789474,1,Hwang2021
8.580746541202362,16.0,74.53053999999999,0.1355089638157895,1,Hwang2021
8.580746541202362,11.0,74.53053999999999,0.11840541118421055,1,Hwang2021
10.780937962023483,9.0,74.53053999999999,0.13914276315789476,1,Hwang2021
5.720497694134909,16.0,74.53053999999999,0.09438,1,Hwang2021
4.180363699560125,11.0,74.53053999999999,0.0732404605263158,1,Hwang2021
8.580746541202362,14.0,74.53053999999999,0.1171847368421053,1,Hwang2021
11.000957104105593,45.0,74.53053999999999,0.14529552631578949,1,Hwang2021
5.720497694134909,15.0,74.53053999999999,0.10401838815789476,1,Hwang2021
8.580746541202362,18.0,74.53053999999999,0.13514205592105263,1,Hwang2021
5.720497694134909,15.0,74.53053999999999,0.08989243421052633,1,Hwang2021
4.180363699560125,27.0,74.53053999999999,0.07319812500000002,1,Hwang2021
8.580746541202362,13.0,74.53053999999999,0.1348386513157895,1,Hwang2021
4.620401983724349,16.0,74.53053999999999,0.09137417763157896,1,Hwang2021
5.720497694134909,11.0,74.53053999999999,0.10401838815789476,1,Hwang2021
4.180363699560125,19.0,74.53053999999999,0.061033717105263174,1,Hwang2021
4.180363699560125,28.0,74.53053999999999,0.05430942434210528,1,Hwang2021
8.580746541202362,19.0,74.53053999999999,0.1263009868421053,1,Hwang2021
4.180363699560125,36.0,74.53053999999999,0.08093141447368422,1,Hwang2021
5.720497694134909,35.0,74.53053999999999,0.09598875000000001,1,Hwang2021
5.720497694134909,9.0,74.53053999999999,0.10356680921052633,1,Hwang2021
8.580746541202362,17.0,74.53053999999999,0.13514205592105263,1,Hwang2021
4.180363699560125,9.0,74.53053999999999,0.08732407894736845,1,Hwang2021
8.030698685997082,22.0,74.53053999999999,0.11814434210526317,1,Hwang2021
8.030698685997082,13.0,74.53053999999999,0.12456523026315793,1,Hwang2021
11.330985817228761,13.0,74.53053999999999,0.16052220394736846,1,Hwang2021
11.991043243475097,13.0,74.53053999999999,0.1523373355263158,1,Hwang2021
9.680842251612923,13.0,74.53053999999999,0.1272605921052632,1,Hwang2021
12.981129382844601,12.0,74.53053999999999,0.14117486842105267,1,Hwang2021
6.380555120381244,40.0,74.53053999999999,0.10442763157894741,1,Hwang2021
9.680842251612923,42.0,74.53053999999999,0.13009001644736845,1,Hwang2021
6.380555120381244,30.0,74.53053999999999,0.11275361842105264,1,Hwang2021
8.030698685997082,30.0,74.53053999999999,0.1292291940789474,1,Hwang2021
9.680842251612923,44.0,74.53053999999999,0.13098611842105265,1,Hwang2021
16.391426085117335,51.0,74.53053999999999,0.5111052631578948,1,Hwang2021
4.730411554765404,69.0,74.53053999999999,0.25235822368421057,1,Hwang2021
16.28141651407628,54.0,74.53053999999999,0.5216894013157894,1,Hwang2021
2.9702584181085103,55.0,74.53053999999999,0.11498328947368425,1,Hwang2021
1.8701627076979508,54.0,74.53053999999999,0.08489684210526317,1,Hwang2021
2.9702584181085103,15.0,74.53053999999999,0.10183105263157896,1,Hwang2021
6.270545549340189,47.0,74.53053999999999,0.17978486842105265,1,Hwang2021
1.8701627076979508,25.0,74.53053999999999,0.08486861842105264,1,Hwang2021
19.4716940742669,51.0,74.53053999999999,0.8663116184210529,1,Hwang2021
21.121837639882738,56.0,74.53053999999999,0.9584896578947371,1,Hwang2021
1.3201148524926711,55.0,74.53053999999999,0.1611091282894737,1,Hwang2021
4.07035412851907,20.0,74.53053999999999,0.37073656578947384,1,Hwang2021
1.3201148524926711,65.0,74.53053999999999,0.10472936842105265,1,Hwang2021
2.7502392760263983,38.0,74.53053999999999,0.2684027467105264,1,Hwang2021
7.370641259750748,15.0,74.53053999999999,0.5047523684210526,1,Hwang2021
4.07035412851907,69.0,74.53053999999999,0.3035262236842106,1,Hwang2021
6.270545549340189,22.0,74.53053999999999,0.4056913421052632,1,Hwang2021
4.07035412851907,45.0,74.53053999999999,0.2838557269736842,1,Hwang2021
14.521263377419382,43.0,74.53053999999999,0.7844580592105266,1,Hwang2021
16.171406943035223,39.0,74.53053999999999,0.8356080986842107,1,Hwang2021
1.3201148524926711,30.0,74.53053999999999,0.13745729605263163,1,Hwang2021
2.9702584181085103,38.0,74.53053999999999,0.22555277960526315,1,Hwang2021
3.52030627331379,14.0,74.53053999999999,0.2879045427631579,1,Hwang2021
2.8602488470674543,20.0,74.53053999999999,0.25102657894736846,1,Hwang2021
3.7403254153959016,14.0,74.53053999999999,0.2769390000000001,1,Hwang2021
2.6402297049853423,33.0,74.53053999999999,0.29455134868421057,1,Hwang2021
2.8602488470674543,18.0,74.53053999999999,0.2512290197368421,1,Hwang2021
3.190277560190622,44.0,74.53053999999999,0.33271143750000004,1,Hwang2021
13.091138953885656,68.0,74.53053999999999,0.8632075263157896,1,Hwang2021
4.730411554765404,27.0,74.53053999999999,0.3986059144736843,1,Hwang2021
3.190277560190622,46.0,74.53053999999999,0.35444008223684215,1,Hwang2021
6.490564691422301,27.0,74.53053999999999,0.5158191315789475,1,Hwang2021
3.190277560190622,53.0,74.53053999999999,0.3361866710526316,1,Hwang2021
3.190277560190622,33.0,74.53053999999999,0.35521610526315794,1,Hwang2021
4.730411554765404,43.0,74.53053999999999,0.4306927796052633,1,Hwang2021
3.190277560190622,30.0,74.53053999999999,0.2909748947368422,1,Hwang2021
3.190277560190622,36.0,74.53053999999999,0.3140531447368422,1,Hwang2021
10.010870964736089,42.0,74.53053999999999,0.7126590592105264,1,Hwang2021
2.7502392760263983,41.0,74.53053999999999,0.2886130855263158,1,Hwang2021
4.730411554765404,40.0,74.53053999999999,0.09853144736842107,1,Hwang2021
11.330985817228761,29.0,74.53053999999999,0.181038,1,Hwang2021
4.730411554765404,15.0,74.53053999999999,0.09635822368421054,1,Hwang2021
6.380555120381244,10.0,74.53053999999999,0.12127845394736846,1,Hwang2021
4.730411554765404,9.0,74.53053999999999,0.09116763157894739,1,Hwang2021
6.380555120381244,10.0,74.53053999999999,0.10296769736842107,1,Hwang2021
2.4202105629032307,53.0,74.53053999999999,0.06517875000000001,1,Hwang2021
9.680842251612923,36.0,74.53053999999999,0.15270937500000006,1,Hwang2021
6.380555120381244,8.0,74.53053999999999,0.11413016447368422,1,Hwang2021
9.680842251612923,30.0,74.53053999999999,0.16545236842105268,1,Hwang2021
6.380555120381244,33.0,74.53053999999999,0.12692703947368425,1,Hwang2021
3.080267989149566,70.0,74.53053999999999,0.07547013157894737,1,Hwang2021
6.380555120381244,90.0,74.53053999999999,0.12493342105263161,1,Hwang2021
3.080267989149566,27.0,74.53053999999999,0.07375490131578949,1,Hwang2021
7.260631688709691,55.0,74.53053999999999,0.11320519736842108,1,Hwang2021
13.421167667008822,24.0,74.53053999999999,0.24731644736842107,1,Hwang2021
3.080267989149566,47.0,74.53053999999999,0.05145690789473685,1,Hwang2021
4.730411554765404,98.0,74.53053999999999,0.07547013157894737,1,Hwang2021
3.080267989149566,12.0,74.53053999999999,0.08747674342105263,1,Hwang2021
9.680842251612923,46.0,74.53053999999999,0.18571184210526318,1,Hwang2021
16.28141651407628,4.0,74.53053999999999,0.20290006578947373,1,Hwang2021
14.63127294846044,11.0,74.53053999999999,0.17852763157894735,1,Hwang2021
1.4301244235337272,7.0,74.53053999999999,0.034843421052631586,1,Hwang2021
3.080267989149566,17.0,74.53053999999999,0.08947934210526318,1,Hwang2021
4.730411554765404,10.0,74.53053999999999,0.11672546052631581,1,Hwang2021
6.380555120381244,14.0,74.53053999999999,0.10686513157894736,1,Hwang2021
12.981129382844601,29.0,74.53053999999999,0.1973053618421053,1,Hwang2021
2.0901818497800626,8.0,74.53053999999999,0.05660259868421054,1,Hwang2021
13.421167667008822,64.0,74.53053999999999,0.22554828947368427,1,Hwang2021
6.380555120381244,57.0,74.53053999999999,0.10133328947368424,1,Hwang2021
3.080267989149566,19.0,74.53053999999999,0.059090131578947366,1,Hwang2021
6.380555120381244,82.0,74.53053999999999,0.10798766447368424,1,Hwang2021
3.080267989149566,38.0,74.53053999999999,0.04802644736842106,1,Hwang2021
6.380555120381244,47.0,74.53053999999999,0.0994833552631579,1,Hwang2021
4.730411554765404,31.0,74.53053999999999,0.10636223684210527,1,Hwang2021
8.030698685997082,59.0,74.53053999999999,0.15363434210526317,1,Hwang2021
2.5302201339442862,15.0,74.53053999999999,0.07518276315789475,1,Hwang2021
6.380555120381244,54.0,74.53053999999999,0.13506315789473688,1,Hwang2021
2.5302201339442862,59.0,74.53053999999999,0.05402526315789475,1,Hwang2021
8.030698685997082,15.0,74.53053999999999,0.13341976973684214,1,Hwang2021
4.730411554765404,83.0,74.53053999999999,0.13290789473684214,1,Hwang2021
8.030698685997082,15.0,74.53053999999999,0.17776430921052633,1,Hwang2021
